"LSOA11CD","LSOA21CD","LinkCode","TotPersons","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000289","E01000289","E01000289_E01000289",1586,1586,1586,1,1,"U"
"E01000290","E01000290","E01000290_E01000290",1629,1629,1629,1,1,"U"
"E01000291","E01000291","E01000291_E01000291",1554,1554,1554,1,1,"U"
"E01000292","E01000292","E01000292_E01000292",1527,1527,1527,1,1,"U"
"E01000293","E01000293","E01000293_E01000293",1779,1779,1779,1,1,"U"
"E01000294","E01000294","E01000294_E01000294",1738,1738,1738,1,1,"U"
"E01000295","E01000295","E01000295_E01000295",1622,1622,1622,1,1,"U"
"E01000296","E01000296","E01000296_E01000296",1823,1823,1823,1,1,"U"
"E01000297","E01000297","E01000297_E01000297",1423,1423,1423,1,1,"U"
"E01000298","E01000298","E01000298_E01000298",1672,1672,1672,1,1,"U"
"E01000299","E01000299","E01000299_E01000299",2214,2214,2214,1,1,"U"
"E01000300","E01000300","E01000300_E01000300",1688,1688,1688,1,1,"U"
"E01000301","E01000301","E01000301_E01000301",1489,1489,1489,1,1,"U"
"E01000302","E01000302","E01000302_E01000302",1778,1778,1778,1,1,"U"
"E01000303","E01000303","E01000303_E01000303",1500,1500,1500,1,1,"U"
"E01000304","E01000304","E01000304_E01000304",1560,1560,1560,1,1,"U"
"E01000305","E01000305","E01000305_E01000305",1629,1629,1629,1,1,"U"
"E01000306","E01000306","E01000306_E01000306",1975,1975,1975,1,1,"U"
"E01000307","E01000307","E01000307_E01000307",1647,1647,1647,1,1,"U"
"E01000308","E01000308","E01000308_E01000308",2108,2108,2108,1,1,"U"
"E01000309","E01000309","E01000309_E01000309",2049,2049,2049,1,1,"U"
"E01000310","E01000310","E01000310_E01000310",2255,2255,2255,1,1,"U"
"E01000311","E01000311","E01000311_E01000311",1767,1767,1767,1,1,"U"
"E01000312","E01000312","E01000312_E01000312",1828,1828,1828,1,1,"U"
"E01000313","E01000313","E01000313_E01000313",1900,1900,1900,1,1,"U"
"E01000314","E01000314","E01000314_E01000314",2097,2097,2097,1,1,"U"
"E01000315","E01000315","E01000315_E01000315",1695,1695,1695,1,1,"U"
"E01000316","E01000316","E01000316_E01000316",2286,2286,2286,1,1,"U"
"E01000317","E01000317","E01000317_E01000317",1586,1586,1586,1,1,"U"
"E01000318","E01000318","E01000318_E01000318",1912,1912,1912,1,1,"U"
"E01000319","E01000319","E01000319_E01000319",1402,1402,1402,1,1,"U"
"E01000320","E01000320","E01000320_E01000320",1929,1929,1929,1,1,"U"
"E01000321","E01000321","E01000321_E01000321",2017,2017,2017,1,1,"U"
"E01000322","E01000322","E01000322_E01000322",1847,1847,1847,1,1,"U"
"E01000323","E01000323","E01000323_E01000323",2385,2385,2385,1,1,"U"
"E01000324","E01000324","E01000324_E01000324",1835,1835,1835,1,1,"U"
"E01000325","E01000325","E01000325_E01000325",1643,1643,1643,1,1,"U"
"E01000326","E01000326","E01000326_E01000326",1376,1376,1376,1,1,"U"
"E01000327","E01000327","E01000327_E01000327",1612,1612,1612,1,1,"U"
"E01000328","E01000328","E01000328_E01000328",1674,1674,1674,1,1,"U"
"E01000329","E01000329","E01000329_E01000329",1703,1703,1703,1,1,"U"
"E01000330","E01000330","E01000330_E01000330",1650,1650,1650,1,1,"U"
"E01000331","E01000331","E01000331_E01000331",1692,1692,1692,1,1,"U"
"E01000332","E01000332","E01000332_E01000332",1581,1581,1581,1,1,"U"
"E01000333","E01000333","E01000333_E01000333",1928,1928,1928,1,1,"U"
"E01000334","E01000334","E01000334_E01000334",1539,1539,1539,1,1,"U"
